agent,evidence_scope,intervention_family,n,success_rate,acrs_family,absolute_degradation,relative_degradation,clean_success_reference,degradation_ci95,run_dir,config_hash,seed,dataset_version,model_ids,scorer_versions,git_commit,timestamp
greedy_tool_agent,pilot_stub_engineering_only,distractor_evidence,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,irrelevant_tools,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,long_horizon_dependency,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,memory_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,observation_conflict,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,premature_success_signal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,tool_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,tool_failure,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
greedy_tool_agent,pilot_stub_engineering_only,tool_removal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,ambiguous_instruction,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,distractor_evidence,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,irrelevant_tools,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,long_horizon_dependency,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,memory_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,observation_conflict,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,premature_success_signal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,tool_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,tool_failure,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
planner_executor_local_stub,pilot_stub_engineering_only,tool_removal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,ambiguous_instruction,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,distractor_evidence,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,irrelevant_tools,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,long_horizon_dependency,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,memory_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,observation_conflict,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,premature_success_signal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,tool_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,tool_failure,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
react_stub_agent,pilot_stub_engineering_only,tool_removal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,ambiguous_instruction,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,distractor_evidence,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,irrelevant_tools,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,long_horizon_dependency,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,memory_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,observation_conflict,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,premature_success_signal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,tool_corruption,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,tool_failure,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
self_check_local_stub,pilot_stub_engineering_only,tool_removal,10,0.0,,0.0,,0.0,"[0.000, 0.000]",results/20260511T162146Z_pilot_20_multi_agent_stub,6c0a1da78f8a8f53,20270511,unknown,local-stub,deterministic_heuristic_v1,dea8e25f0e429ed2054c628fb37d24e7c1c9020e,2026-05-11T16:21:46.439828+00:00
